Date;n
2023-09-02;25
2023-09-03;19
2023-09-04;45
2023-09-05;47
2023-09-06;51
2023-09-07;42
2023-09-08;36
2023-09-09;33
2023-09-10;30
2023-09-11;38
2023-09-12;46
2023-09-13;57
2023-09-14;58
2023-09-15;46
2023-09-16;36
2023-09-17;45
2023-09-18;80
2023-09-19;71
2023-09-20;55
2023-09-21;56
2023-09-22;47
2023-09-23;44
2023-09-24;35
2023-09-25;47
2023-09-26;47
2023-09-27;50
2023-09-28;39
2023-09-29;41
2023-09-30;31
2023-10-01;39
2023-10-02;100
2023-10-03;73
2023-10-04;79
2023-10-05;45
2023-10-06;43
2023-10-07;23
2023-10-08;30
2023-10-09;42
2023-10-10;37
2023-10-11;47
2023-10-12;42
2023-10-13;27
2023-10-14;28
2023-10-15;23
2023-10-16;30
2023-10-17;40
2023-10-18;36
2023-10-19;33
2023-10-20;30
2023-10-21;24
2023-10-22;24
2023-10-23;35
2023-10-24;35
2023-10-25;40
2023-10-26;21
2023-10-27;28
2023-10-28;17
2023-10-29;17
2023-10-30;62
