Date,n
2007-07-01,1003
2007-08-01,2509
2007-09-01,6222
2007-10-01,8554
2007-11-01,10630
2007-12-01,11756
2008-01-01,16443
2008-02-01,15700
2008-03-01,17576
2008-04-01,18612
2008-05-01,16584
2008-06-01,17416
2008-07-01,16400
2008-08-01,13345
2008-09-01,19090
2008-10-01,15062
2008-11-01,12363
2008-12-01,13656
2009-01-01,12217
2009-02-01,10873
2009-03-01,11899
2009-04-01,11405
2009-05-01,9415
2009-06-01,9896
2009-07-01,8412
2009-08-01,6773
2009-09-01,9680
2009-10-01,7653
2009-11-01,6641
2009-12-01,6071
2010-01-01,5367
2010-02-01,4963
2010-03-01,5671
2010-04-01,5211
2010-05-01,4575
2010-06-01,5318
2010-07-01,4413
2010-08-01,3612
2010-09-01,5198
2010-10-01,4398
2010-11-01,4224
2010-12-01,4017
2011-01-01,3696
2011-02-01,2962
2011-03-01,3429
2011-04-01,2977
2011-05-01,3023
2011-06-01,2946
2011-07-01,2227
2011-08-01,1763
2011-09-01,2378
2011-10-01,1907
2011-11-01,1595
2011-12-01,1537
2012-01-01,1517
2012-02-01,1330
2012-03-01,1407
2012-04-01,1230
2012-05-01,1112
2012-06-01,1289
2012-07-01,1193
2012-08-01,1028
2012-09-01,1302
2012-10-01,1201
2012-11-01,1099
2012-12-01,997
2013-01-01,1003
2013-02-01,917
2013-03-01,1065
2013-04-01,1042
2013-05-01,949
2013-06-01,870
2013-07-01,862
2013-08-01,702
2013-09-01,926
2013-10-01,904
2013-11-01,695
2013-12-01,472
2014-01-01,507
2014-02-01,400
2014-03-01,490
2014-04-01,383
2014-05-01,347
2014-06-01,308
2014-07-01,315
2014-08-01,240
2014-09-01,339
2014-10-01,329
2014-11-01,285
2014-12-01,269
2015-01-01,314
2015-02-01,290
2015-03-01,292
2015-04-01,243
2015-05-01,275
2015-06-01,310
2015-07-01,252
2015-08-01,211
2015-09-01,306
2015-10-01,249
2015-11-01,246
2015-12-01,258
2016-01-01,257
2016-02-01,254
2016-03-01,301
2016-04-01,296
2016-05-01,274
2016-06-01,318
2016-07-01,267
2016-08-01,269
2016-09-01,404
2016-10-01,363
2016-11-01,368
2016-12-01,369
2017-01-01,399
2017-02-01,367
2017-03-01,455
2017-04-01,378
2017-05-01,469
2017-06-01,447
2017-07-01,398
2017-08-01,430
2017-09-01,673
2017-10-01,501
2017-11-01,722
2017-12-01,562
2018-01-01,805
2018-02-01,657
2018-03-01,862
2018-04-01,859
2018-05-01,885
2018-06-01,940
2018-07-01,780
2018-08-01,814
2018-09-01,1045
2018-10-01,1168
2018-11-01,1176
2018-12-01,1165
2019-01-01,1400
2019-02-01,1242
2019-03-01,1502
2019-04-01,1710
2019-05-01,1820
2019-06-01,1778
2019-07-01,1826
2019-08-01,1656
2019-09-01,2171
2019-10-01,2134
2019-11-01,2084
2019-12-01,2193
2020-01-01,2394
2020-02-01,2280
2020-03-01,1651
2020-04-01,1173
2020-05-01,1809
2020-06-01,2224
2020-07-01,2146
2020-08-01,2113
2020-09-01,2528
2020-10-01,2416
2020-11-01,2270
2020-12-01,2530
2021-01-01,2672
2021-02-01,2801
2021-03-01,3370
2021-04-01,3376
2021-05-01,2921
2021-06-01,2778
2021-07-01,2487
2021-08-01,2598
2021-09-01,3420
2021-10-01,3507
2021-11-01,3628
2021-12-01,3374
2022-01-01,3222
2022-02-01,3289
2022-03-01,3751
2022-04-01,3567
2022-05-01,3779
2022-06-01,3875
2022-07-01,3297
2022-08-01,3535
2022-09-01,4165
2022-10-01,3934
2022-11-01,3870
2022-12-01,3886
2023-01-01,4070
2023-02-01,3860
2023-03-01,5172
2023-04-01,4461
2023-05-01,4717
2023-06-01,5106
2023-07-01,4491
2023-08-01,4655
2023-09-01,6065
2023-10-01,6061
2023-11-01,5428
2023-12-01,5424
2024-01-01,5787
2024-02-01,5194
2024-03-01,5698
2024-04-01,5691
2024-05-01,5469
2024-06-01,5887
2024-07-01,5905
2024-08-01,5271
2024-09-01,6100
2024-10-01,6074
2024-11-01,5351
2024-12-01,5527
2025-01-01,5792
2025-02-01,4939
2025-03-01,6019
2025-04-01,5871
2025-05-01,6294
2025-06-01,7436
2025-07-01,8547
2025-08-01,7783
2025-09-01,9482
2025-10-01,9996
2025-11-01,9208
2025-12-01,11394
2026-01-01,16211
2026-02-01,19467
2026-03-01,25376
2026-04-01,22400
