Date,random_sur_range
2007 Jul,NA
2007 Aug,NA
2007 Sep,NA
2007 Oct,NA
2007 Nov,NA
2007 Dec,NA
2008 Jan,0.21522191701750726
2008 Feb,0.10520662273023376
2008 Mar,0.09301509656031307
2008 Apr,0.12397601562084382
2008 May,0.06379701547625594
2008 Jun,0.0114328394747406
2008 Jul,0.01291362437869916
2008 Aug,-0.05273126597675406
2008 Sep,0.08714271736987209
2008 Oct,-0.04059839629839849
2008 Nov,-0.04126119318139087
2008 Dec,0.019519091917608002
2009 Jan,0.00329999271145346
2009 Feb,-0.019268662760086885
2009 Mar,0.024343199174395095
2009 Apr,0.02909896307456408
2009 May,-0.005394805547731276
2009 Jun,-0.021946988126885246
2009 Jul,-0.0037599776449650873
2009 Aug,-0.02585219487656927
2009 Sep,0.019266104671233318
2009 Oct,-0.06114393513000983
2009 Nov,0.007463111777206848
2009 Dec,-0.009342031208704872
2010 Jan,-0.021839991994259175
2010 Feb,-0.011810416346852776
2010 Mar,0.005437735390646825
2010 Apr,-0.0019057328921607939
2010 May,-0.009358225189757348
2010 Jun,-0.0070738412816511624
2010 Jul,-4.6728002835515263e-4
2010 Aug,0.003207863489935186
2010 Sep,0.011866945674523963
2010 Oct,-0.03548083287182116
2010 Nov,0.034393741781386204
2010 Dec,0.04144759568733959
2011 Jan,0.013395956151171626
2011 Feb,-0.01913314953454356
2011 Mar,0.013231799090075753
2011 Apr,-0.005849989047746403
2011 May,0.042275963930127544
2011 Jun,-0.002041372860339255
2011 Jul,0.019037955253630896
2011 Aug,-0.005338823325768625
2011 Sep,-0.04835202909720238
2011 Oct,-0.07307252102896898
2011 Nov,8.391614343629034e-4
2011 Dec,0.028446310821201137
2012 Jan,-0.0028902696823031922
2012 Feb,0.0076117771605580375
2012 Mar,-0.010997235599484918
2012 Apr,-0.011404890611304414
2012 May,0.0052653400582637665
2012 Jun,-0.011519541999095707
2012 Jul,0.028382436260790764
2012 Aug,0.01969484965754819
2012 Sep,-0.051047236583007735
2012 Oct,-0.05778234021691171
2012 Nov,0.018259226882231867
2012 Dec,0.014896357087332647
2013 Jan,0.00601162604277923
2013 Feb,-0.003026239181333168
2013 Mar,-0.02982399220678124
2013 Apr,-0.024440395988943715
2013 May,-0.008274575658897722
2013 Jun,-0.024566226077158616
2013 Jul,0.026019852146773458
2013 Aug,0.030113398452347378
2013 Sep,0.04496228675720623
2013 Oct,0.0541331050056312
2013 Nov,0.049110386820689696
2013 Dec,0.0014045782230156269
2014 Jan,-0.004744793268904786
2014 Feb,-0.010683192698015412
2014 Mar,-0.008910240671420969
2014 Apr,-0.0130305930443371
2014 May,-6.427171839828049e-4
2014 Jun,-0.03308485207343175
2014 Jul,0.012007008960670505
2014 Aug,0.003379878594412676
2014 Sep,-0.030604131149155535
2014 Oct,-0.023638254525100696
2014 Nov,-0.002338098990117473
2014 Dec,0.02164190431437618
2015 Jan,4.790818800685006e-4
2015 Feb,0.009853448800605735
2015 Mar,-0.009958757143806366
2015 Apr,0.002645138863962839
2015 May,-3.427173664921531e-4
2015 Jun,-0.0018670763884283902
2015 Jul,0.018693468771189246
2015 Aug,0.023911272947937018
2015 Sep,-0.017699348125449384
2015 Oct,-0.04261900343415083
2015 Nov,-0.01064364526811212
2015 Dec,0.02392692193565823
2016 Jan,-0.007557719314272991
2016 Feb,0.02209252880724907
2016 Mar,-0.007583853645648838
2016 Apr,0.0021163178929033207
2016 May,0.005909141947966032
2016 Jun,-0.0030746041709210008
2016 Jul,0.012706932489234131
2016 Aug,0.034228757165437135
2016 Sep,-0.03670701717021345
2016 Oct,-0.05418051731307772
2016 Nov,0.0019041037522686977
2016 Dec,0.025887985381399106
2017 Jan,-0.0016519434394598553
2017 Feb,0.014485537237357998
2017 Mar,-0.0028365561535104037
2017 Apr,-0.0090603293000109
2017 May,0.01216852977495444
2017 Jun,-0.012858248409008117
2017 Jul,0.02202449336067999
2017 Aug,0.027726859980279548
2017 Sep,-0.031194549040916508
2017 Oct,-0.08957798627279244
2017 Nov,0.020200214294558875
2017 Dec,-0.0020804386682288897
2018 Jan,0.012949264407714118
2018 Feb,0.01185238294574085
2018 Mar,0.005783362556805203
2018 Apr,-0.00618238428279114
2018 May,0.0020721100617497224
2018 Jun,-0.007146616902776366
2018 Jul,0.014477729891030395
2018 Aug,0.019286941160458305
2018 Sep,-0.02873340985377687
2018 Oct,-0.010522673150549494
2018 Nov,0.0018831151718815488
2018 Dec,-0.009082639731528622
2019 Jan,0.0014819710037861505
2019 Feb,0.0018739099288422913
2019 Mar,-0.0056116114994842915
2019 Apr,0.017698513736434454
2019 May,0.01692974360843651
2019 Jun,-0.026616034716058307
2019 Jul,0.02117673722243274
2019 Aug,0.003945885854636316
2019 Sep,-0.009021482682325693
2019 Oct,0.027938444135462842
2019 Nov,0.01897968271769597
2019 Dec,0.031605320306214414
2020 Jan,0.051700115357766835
2020 Feb,0.06496330120525826
2020 Mar,-0.11087322046580583
2020 Apr,-0.14704245067970892
2020 May,-0.03724497628527004
2020 Jun,0.036895865809021225
2020 Jul,0.040125090713928765
2020 Aug,0.05702053037196297
